"","composition","plot","subplot.x","treatment","cmass","pmass","subplot.y","VWC","hVWC","lVWC","Plot","Subplot","plot_comp","centN_Soil","centC_Soil","Mass_Soil"
"1","bahia",2,"A","UC",259.3,880.1,"A",9.3,22.22,3.16,1,"UC","Grass",0.11,1.56,960.82
"2","bahia",2,"B","C",486.016,838.016,"B",8.24848484848485,21.7,2.14,1,"C","Grass",0.2,3.25,926.6
"3","bahia",2,"C","CM",469.17,769.97,"C",8.38787878787879,20.8,2.72,1,"CM","Grass",0.11,1.6,926.23
"4","bahia",3,"A","C",459.806,760.606,"A",7.27878787878788,18.5,1.52,2,"C","Grass",0.18,2.3,859.82
"5","bahia",3,"B","CM",398.004,722.804,"B",6.56666666666667,16.1,1.16,2,"CM","Grass",0.08,1.17,877.38
"6","bahia",3,"C","UC",292.5,886.1,"C",7.4030303030303,16.7,2.06,2,"UC","Grass",0.15,2.04,877.62
"7","bahia",10,"A","CM",422.98,422.98,"A",11.9878787878788,33,3.18,7,"CM","Grass",0.06,0.91,926.9
"8","bahia",10,"B","UC",398.1,1561.3,"B",10,28.16,2.2,7,"UC","Grass",0.09,1.43,918.81
"9","bahia",10,"C","C",710.289,710.289,"C",9.2030303030303,28.9,1.36,7,"C","Grass",0.07,1.1,1029.03
"10","bahia",12,"A","UC",490.9,990.1,"A",10.0545454545455,30.5,1.92,8,"UC","Grass",0.12,1.69,848.47
"11","bahia",12,"B","CM",498.483,498.483,"B",11.0545454545455,35.06,2.58,8,"CM","Grass",0.1,1.53,968.23
"12","bahia",12,"C","C",787.241,787.241,"C",11.1939393939394,33.26,3.36,8,"C","Grass",0.13,2.07,923.61
"13","bahia",16,"A","UC",308.3,1114.7,"A",8.07575757575758,23.22,1.38,11,"UC","Grass",0.07,1.44,984.38
"14","bahia",16,"B","CM",324.446,324.446,"B",7.97272727272727,23.64,1.62,11,"CM","Grass",0.14,2.29,1022.98
"15","bahia",16,"C","C",156.847,156.847,"C",8.15454545454545,24.14,1.6,11,"C","Grass",0.2,3.41,988.52
"16","bahia",18,"A","CM",470.38,470.38,"A",8.15757575757576,21.48,1.86,12,"CM","Grass",0.09,1.54,942.48
"17","bahia",18,"B","UC",165.8,937,"B",8.27878787878788,26.78,1.94,12,"UC","Grass",0.12,1.86,915.86
"18","bahia",18,"C","C",276.34,276.34,"C",9.02121212121212,26.66,1.7,12,"C","Grass",0.17,2.59,896.4
"19","bahia",19,"A","CM",279.511,279.511,"A",9.33636363636364,24.04,2.2,13,"CM","Grass",0.08,1.36,871.1
"20","bahia",19,"B","UC",315.9,786.3,"B",8.85151515151515,27.22,2.56,13,"UC","Grass",0.09,1.52,937.73
"21","bahia",19,"C","C",369.232,369.232,"C",9.84545454545455,26.2,2.86,13,"C","Grass",0.11,1.77,981.29
"22","bahia",20,"A","UC",209.6,936,"A",8.13939393939394,26.4,1.7,14,"UC","Grass",0.12,1.84,876.77
"23","bahia",20,"B","C",258.764,258.764,"B",10.2515151515152,31.66,2.72,14,"C","Grass",0.05,0.92,870.11
"24","bahia",20,"C","CM",346.66,346.66,"C",9.59090909090909,29.12,1.92,14,"CM","Grass",0.12,2.02,919.1
"25","mixed",4,"A","C",485.61,808.81,"A",8.76060606060606,24.04,1.88,4,"C","Mixed",0.1,1.45,970.57
"26","mixed",4,"B","UC",370.4,1188,"B",9.97575757575758,25.62,1.8,3,"UC","Mixed",0.19,2.86,990.09
"27","mixed",4,"C","CM",696.572,1149.372,"C",10.0060606060606,24.9,3.12,3,"CM","Mixed",0.14,2.25,929.86
"28","mixed",6,"A","C",637.685,1114.485,"A",9.17878787878788,24.66,2.66,5,"C","Mixed",0.09,1.35,1021.2
"29","mixed",6,"B","CM",606.099,993.299,"B",7.76363636363636,23.68,1.96,4,"CM","Mixed",0.11,1.45,861.75
"30","mixed",6,"C","UC",515,1355,"C",8.73333333333333,19.14,2.48,4,"UC","Mixed",0.11,1.47,844.63
"31","mixed",7,"A","C",586.502,1154.502,"A",8.73939393939394,27.46,1.86,NA,NA,NA,NA,NA,NA
"32","mixed",7,"B","CM",651.579,1115.579,"B",8.59090909090909,22.38,2.22,5,"CM","Mixed",0.1,1.36,1007.46
"33","mixed",7,"C","UC",481.4,1543.8,"C",7.89090909090909,19.8,1.74,5,"UC","Mixed",0.08,1.15,904.75
"34","mixed",9,"A","CM",589.17,589.17,"A",9.70909090909091,26.18,2.1,6,"CM","Mixed",0.15,2.27,945.84
"35","mixed",9,"B","C",557.379,557.379,"B",10.0363636363636,30,3.22,6,"C","Mixed",0.08,0.99,957.58
"36","mixed",9,"C","UC",366.6,966.6,"C",9.37272727272727,27.68,2.8,6,"UC","Mixed",0.09,1.29,875.81
"37","mixed",13,"A","C",385.38,385.38,"A",7.48181818181818,19.04,2.3,9,"C","Mixed",0.09,1.49,1039.27
"38","mixed",13,"B","CM",534.545,534.545,"B",7.90909090909091,21.7,1.78,9,"CM","Mixed",0.13,2.19,863.21
"39","mixed",13,"C","UC",293.2,971.6,"C",9.52424242424242,23.26,2.54,9,"UC","Mixed",0.1,1.92,861.79
"40","mixed",14,"A","UC",375.4,1457,"A",8.2030303030303,22.06,1.72,10,"UC","Mixed",0.11,2.04,936.97
"41","mixed",14,"B","CM",498.295,498.295,"B",7.81212121212121,23.5,1.5,10,"CM","Mixed",0.1,1.85,867.75
"42","mixed",14,"C","C",512.565,512.565,"C",7.87575757575758,21.58,2.24,10,"C","Mixed",0.08,1.57,954.35
"43","mixed",22,"A","C",470.307,470.307,"A",8.26666666666667,25.06,1.64,15,"C","Mixed",0.13,2.12,907.09
"44","mixed",22,"B","UC",311.5,1076.3,"B",10.1272727272727,28.06,3.7,15,"UC","Mixed",0.17,2.84,879.01
"45","mixed",22,"C","CM",661.356,661.356,"C",10.8212121212121,31.9,3.28,15,"CM","Mixed",0.15,2.46,881.99
"46","mixed",24,"A","CM",579.767,579.767,"A",9.44848484848485,30.12,2.06,16,"CM","Mixed",0.05,0.86,845.1
"47","mixed",24,"B","C",541.435,541.435,"B",10.3454545454545,26.84,2.86,16,"C","Mixed",0.1,1.6,964.24
"48","mixed",24,"C","UC",437.9,986.7,"C",9.05151515151515,26.6,1.86,16,"UC","Mixed",0.1,1.61,952.05
