date,days_since_cut,Block,Composition,plot_id,Treatment,LAI,SEM,Date,composition,treatment,month_num,root_month
7/3/20,18,1,BG,2A,UC,2.8,3.529,2020-07-03,bahia,control,7,6
7/3/20,18,1,BG,2B,C,1.179,0.4696,2020-07-03,bahia,cut,7,6
7/3/20,18,1,BG,2C,CM,1.095,6.748,2020-07-03,bahia,cut+manure,7,6
7/3/20,18,2,BGRP,4A,C,1.138,2.764,2020-07-03,mixed,cut,7,6
7/3/20,18,2,BGRP,4B,UC,4.76,3.955,2020-07-03,mixed,control,7,6
7/3/20,18,2,BGRP,4C,CM,1.481,2.928,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,3,BGRP,9A,CM,1.892,4.649,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,3,BGRP,9B,C,2.308,6.875,2020-07-03,mixed,cut,7,6
7/3/20,18,3,BGRP,9C,UC,5.444,3.834,2020-07-03,mixed,control,7,6
7/3/20,18,4,BG,10A,CM,0.874,4.549,2020-07-03,bahia,cut+manure,7,6
7/3/20,18,4,BG,10B,UC,4.625,7.452,2020-07-03,bahia,control,7,6
7/3/20,18,4,BG,10C,C,1.98,3.211,2020-07-03,bahia,cut,7,6
7/3/20,18,5,BGRP,13A,C,1.023,3.646,2020-07-03,mixed,cut,7,6
7/3/20,18,5,BGRP,13B,CM,1.546,5.449,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,5,BGRP,13C,UC,3.728,3.905,2020-07-03,mixed,control,7,6
7/3/20,18,6,BG,18A,CM,1.454,4.737,2020-07-03,bahia,cut+manure,7,6
7/3/20,18,6,BG,18B,UC,1.667,4.668,2020-07-03,bahia,control,7,6
7/3/20,18,6,BG,18C,C,0.555,0.657,2020-07-03,bahia,cut,7,6
7/3/20,18,7,BGRP,20A,UC,1.883,3.732,2020-07-03,mixed,control,7,6
7/3/20,18,7,BGRP,20B,C,0.705,5.329,2020-07-03,mixed,cut,7,6
7/3/20,18,7,BGRP,20C,CM,0.889,6.144,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,8,BG,22A,C,1.064,1.95,2020-07-03,bahia,cut,7,6
7/3/20,18,8,BG,22B,UC,3.767,4.285,2020-07-03,bahia,control,7,6
7/3/20,18,8,BG,22C,CM,2.517,4.624,2020-07-03,bahia,cut+manure,7,6
7/30/20,9,1,BG,2A,UC,3.528,4.137,2020-07-30,bahia,control,7,7
7/30/20,9,1,BG,2B,C,0.921,6.709,2020-07-30,bahia,cut,7,7
7/30/20,9,1,BG,2C,CM,0.507,0,2020-07-30,bahia,cut+manure,7,7
7/30/20,9,2,BGRP,4A,C,0.67,4.417,2020-07-30,mixed,cut,7,7
7/30/20,9,2,BGRP,4B,UC,7.065,1.65,2020-07-30,mixed,control,7,7
7/30/20,9,2,BGRP,4C,CM,0.51,4.548,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,3,BGRP,9A,CM,0.858,2.306,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,3,BGRP,9B,C,1.027,4.522,2020-07-30,mixed,cut,7,7
7/30/20,9,3,BGRP,9C,UC,6.01,5.913,2020-07-30,mixed,control,7,7
7/30/20,9,4,BG,10A,CM,0.728,6.554,2020-07-30,bahia,cut+manure,7,7
7/30/20,9,4,BG,10B,UC,4.916,5.738,2020-07-30,bahia,control,7,7
7/30/20,9,4,BG,10C,C,0.867,2.987,2020-07-30,bahia,cut,7,7
7/30/20,9,5,BGRP,13A,C,1.568,18.91,2020-07-30,mixed,cut,7,7
7/30/20,9,5,BGRP,13B,CM,0.569,6.612,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,5,BGRP,13C,UC,5.29,3.924,2020-07-30,mixed,control,7,7
7/30/20,9,6,BG,18A,CM,0.776,5.801,2020-07-30,bahia,cut+manure,7,7
7/30/20,9,6,BG,18B,UC,2.194,1.485,2020-07-30,bahia,control,7,7
7/30/20,9,6,BG,18C,C,0.523,3.059,2020-07-30,bahia,cut,7,7
7/30/20,9,7,BGRP,20A,UC,2.985,2.884,2020-07-30,mixed,control,7,7
7/30/20,9,7,BGRP,20B,C,0.595,5.498,2020-07-30,mixed,cut,7,7
7/30/20,9,7,BGRP,20C,CM,0.571,5.824,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,8,BG,22A,C,0.957,6.457,2020-07-30,bahia,cut,7,7
7/30/20,9,8,BG,22B,UC,5.23,2.439,2020-07-30,bahia,control,7,7
7/30/20,9,8,BG,22C,CM,1.003,5.041,2020-07-30,bahia,cut+manure,7,7
8/28/20,8,1,BG,2A,UC,4.916,3.928,2020-08-28,bahia,control,8,8
8/28/20,8,1,BG,2B,C,0.803,11.56,2020-08-28,bahia,cut,8,8
8/28/20,8,1,BG,2C,CM,0.769,0.1131,2020-08-28,bahia,cut+manure,8,8
8/28/20,8,2,BGRP,4A,C,1.299,1.754,2020-08-28,mixed,cut,8,8
8/28/20,8,2,BGRP,4B,UC,5.281,4.601,2020-08-28,mixed,control,8,8
8/28/20,8,2,BGRP,4C,CM,0.818,6.665,2020-08-28,mixed,cut+manure,8,8
8/28/20,8,3,BGRP,9A,CM,0.815,6.05,2020-08-28,mixed,cut+manure,8,8
8/28/20,8,3,BGRP,9B,C,0.649,0,2020-08-28,mixed,cut,8,8
8/28/20,8,3,BGRP,9C,UC,6.404,5.584,2020-08-28,mixed,control,8,8
8/28/20,8,4,BG,10A,CM,0.895,2.043,2020-08-28,bahia,cut+manure,8,8
8/28/20,8,4,BG,10B,UC,4.627,4.032,2020-08-28,bahia,control,8,8
8/28/20,8,4,BG,10C,C,1.049,2.368,2020-08-28,bahia,cut,8,8
8/28/20,8,5,BGRP,13A,C,0.573,10.41,2020-08-28,mixed,cut,8,8
8/28/20,8,5,BGRP,13B,CM,0.932,13.83,2020-08-28,mixed,cut+manure,8,8
8/28/20,8,5,BGRP,13C,UC,4.963,5.544,2020-08-28,mixed,control,8,8
8/28/20,8,6,BG,18A,CM,0.927,5.412,2020-08-28,bahia,cut+manure,8,8
8/28/20,8,6,BG,18B,UC,3.057,2.649,2020-08-28,bahia,control,8,8
8/28/20,8,6,BG,18C,C,0.538,3.593,2020-08-28,bahia,cut,8,8
8/28/20,8,7,BGRP,20A,UC,3.59,3.03,2020-08-28,mixed,control,8,8
8/28/20,8,7,BGRP,20B,C,0.551,0,2020-08-28,mixed,cut,8,8
8/28/20,8,7,BGRP,20C,CM,0.691,3.41,2020-08-28,mixed,cut+manure,8,8
8/28/20,8,8,BG,22A,C,0.697,9.032,2020-08-28,bahia,cut,8,8
8/28/20,8,8,BG,22B,UC,6.414,5.621,2020-08-28,bahia,control,8,8
8/28/20,8,8,BG,22C,CM,0.142,0.7016,2020-08-28,bahia,cut+manure,8,8
10/2/20,7,1,BG,2A,UC,4.945,1.379,2020-10-02,bahia,control,10,9
10/2/20,7,1,BG,2B,C,0.648,16.65,2020-10-02,bahia,cut,10,9
10/2/20,7,1,BG,2C,CM,0.598,2.734,2020-10-02,bahia,cut+manure,10,9
10/2/20,7,2,BGRP,4A,C,0.974,10.19,2020-10-02,mixed,cut,10,9
10/2/20,7,2,BGRP,4B,UC,5.752,3.777,2020-10-02,mixed,control,10,9
10/2/20,7,2,BGRP,4C,CM,0.562,3.231,2020-10-02,mixed,cut+manure,10,9
10/2/20,7,3,BGRP,9A,CM,0.429,5.481,2020-10-02,mixed,cut+manure,10,9
10/2/20,7,3,BGRP,9B,C,0.469,3.219,2020-10-02,mixed,cut,10,9
10/2/20,7,3,BGRP,9C,UC,6.434,3.219,2020-10-02,mixed,control,10,9
10/2/20,7,4,BG,10A,CM,0.665,5.814,2020-10-02,bahia,cut+manure,10,9
10/2/20,7,4,BG,10B,UC,6.107,3.521,2020-10-02,bahia,control,10,9
10/2/20,7,4,BG,10C,C,0.512,12.16,2020-10-02,bahia,cut,10,9
10/2/20,7,5,BGRP,13A,C,0.29,13.99,2020-10-02,mixed,cut,10,9
10/2/20,7,5,BGRP,13B,CM,0.602,9.171,2020-10-02,mixed,cut+manure,10,9
10/2/20,7,5,BGRP,13C,UC,4.573,4.998,2020-10-02,mixed,control,10,9
10/2/20,7,6,BG,18A,CM,0.831,3.008,2020-10-02,bahia,cut+manure,10,9
10/2/20,7,6,BG,18B,UC,2.888,3.584,2020-10-02,bahia,control,10,9
10/2/20,7,6,BG,18C,C,0.444,3.815,2020-10-02,bahia,cut,10,9
10/2/20,7,7,BGRP,20A,UC,4.123,1.139,2020-10-02,mixed,control,10,9
10/2/20,7,7,BGRP,20B,C,0.339,18.28,2020-10-02,mixed,cut,10,9
10/2/20,7,7,BGRP,20C,CM,0.429,8.16,2020-10-02,mixed,cut+manure,10,9
10/2/20,7,8,BG,22A,C,0.247,5.599,2020-10-02,bahia,cut,10,9
10/2/20,7,8,BG,22B,UC,6.539,3.241,2020-10-02,bahia,control,10,9
10/2/20,7,8,BG,22C,CM,0.952,4.763,2020-10-02,bahia,cut+manure,10,9
10/16/20,19,1,BG,2A,UC,4.125,2.463,2020-10-16,bahia,control,10,10
10/16/20,19,1,BG,2B,C,0.782,1.642,2020-10-16,bahia,cut,10,10
10/16/20,19,1,BG,2C,CM,0.859,0.692,2020-10-16,bahia,cut+manure,10,10
10/16/20,19,2,BGRP,4A,C,0.863,2.23,2020-10-16,mixed,cut,10,10
10/16/20,19,2,BGRP,4B,UC,6.562,2.561,2020-10-16,mixed,control,10,10
10/16/20,19,2,BGRP,4C,CM,0.505,11.78,2020-10-16,mixed,cut+manure,10,10
10/16/20,19,3,BGRP,9A,CM,1.157,4.33,2020-10-16,mixed,cut+manure,10,10
10/16/20,19,3,BGRP,9B,C,0.76,8.838,2020-10-16,mixed,cut,10,10
10/16/20,19,3,BGRP,9C,UC,6.814,5.958,2020-10-16,mixed,control,10,10
10/16/20,19,4,BG,10A,CM,1.008,2.878,2020-10-16,bahia,cut+manure,10,10
10/16/20,19,4,BG,10B,UC,4.287,6.07,2020-10-16,bahia,control,10,10
10/16/20,19,4,BG,10C,C,1.426,0.5572,2020-10-16,bahia,cut,10,10
10/16/20,19,5,BGRP,13A,C,0.352,18.34,2020-10-16,mixed,cut,10,10
10/16/20,19,5,BGRP,13B,CM,0.505,8.669,2020-10-16,mixed,cut+manure,10,10
10/16/20,19,5,BGRP,13C,UC,6.461,2.939,2020-10-16,mixed,control,10,10
10/16/20,19,6,BG,18A,CM,1.734,7.175,2020-10-16,bahia,cut+manure,10,10
10/16/20,19,6,BG,18B,UC,2.693,2.442,2020-10-16,bahia,control,10,10
10/16/20,19,6,BG,18C,C,0.727,3.861,2020-10-16,bahia,cut,10,10
10/16/20,19,7,BGRP,20A,UC,3.66,4.28,2020-10-16,mixed,control,10,10
10/16/20,19,7,BGRP,20B,C,0.844,9.775,2020-10-16,mixed,cut,10,10
10/16/20,19,7,BGRP,20C,CM,1.061,2.086,2020-10-16,mixed,cut+manure,10,10
10/16/20,19,8,BG,22A,C,0.815,2.749,2020-10-16,bahia,cut,10,10
10/16/20,19,8,BG,22B,UC,6.874,2.841,2020-10-16,bahia,control,10,10
10/16/20,19,8,BG,22C,CM,1.097,1.495,2020-10-16,bahia,cut+manure,10,10
11/13/20,5,1,BG,2A,UC,4.974,5.144,2020-11-13,bahia,control,11,11
11/13/20,5,1,BG,2B,C,1.038,2.678,2020-11-13,bahia,cut,11,11
11/13/20,5,1,BG,2C,CM,0.747,5.467,2020-11-13,bahia,cut+manure,11,11
11/13/20,5,2,BGRP,4A,C,0.463,14.73,2020-11-13,mixed,cut,11,11
11/13/20,5,2,BGRP,4B,UC,5.864,5.551,2020-11-13,mixed,control,11,11
11/13/20,5,2,BGRP,4C,CM,0.686,1.467,2020-11-13,mixed,cut+manure,11,11
11/13/20,5,3,BGRP,9A,CM,0.567,2.153,2020-11-13,mixed,cut+manure,11,11
11/13/20,5,3,BGRP,9B,C,0.516,6.554,2020-11-13,mixed,cut,11,11
11/13/20,5,3,BGRP,9C,UC,NA,NA,2020-11-13,mixed,control,11,11
11/13/20,5,4,BG,10A,CM,0.613,1.587,2020-11-13,bahia,cut+manure,11,11
11/13/20,5,4,BG,10B,UC,5.04,7.089,2020-11-13,bahia,control,11,11
11/13/20,5,4,BG,10C,C,0.679,3.001,2020-11-13,bahia,cut,11,11
11/13/20,5,5,BGRP,13A,C,0.139,0,2020-11-13,mixed,cut,11,11
11/13/20,5,5,BGRP,13B,CM,0.509,7.746,2020-11-13,mixed,cut+manure,11,11
11/13/20,5,5,BGRP,13C,UC,4.401,4.299,2020-11-13,mixed,control,11,11
11/13/20,5,6,BG,18A,CM,0.634,2.205,2020-11-13,bahia,cut+manure,11,11
11/13/20,5,6,BG,18B,UC,2.661,3.825,2020-11-13,bahia,control,11,11
11/13/20,5,6,BG,18C,C,0.287,0,2020-11-13,bahia,cut,11,11
11/13/20,5,7,BGRP,20A,UC,3.107,5.867,2020-11-13,mixed,control,11,11
11/13/20,5,7,BGRP,20B,C,0.27,3.897,2020-11-13,mixed,cut,11,11
11/13/20,5,7,BGRP,20C,CM,0.506,0,2020-11-13,mixed,cut+manure,11,11
11/13/20,5,8,BG,22A,C,0.331,2.398,2020-11-13,bahia,cut,11,11
11/13/20,5,8,BG,22B,UC,6.821,2.05,2020-11-13,bahia,control,11,11
11/13/20,5,8,BG,22C,CM,0.768,3.564,2020-11-13,bahia,cut+manure,11,11
